Artist,Title
Billie_Holiday,You're_Too_Lovely_to_Last
Jim_Reeves,Adios_Amigo
Bob_Marley,Concrete_Jungle
Perry_Como,Till_the_End_of_Time
Genesis,Uncertain_Weather
Billie_Holiday,Crazy_He_Calls_Me
Billie_Holiday,Without_Your_Love
The_Andrews_Sisters,Beer_Barrel_Polka
Cradle_of_Filth,The_Foetus_of_a_New_Day_Kicking
Dolly_Parton,God_Won't_Get_You
The_Who,They_Are_All_in_Love
Elvis_Presley,“Green_Grass_of_Home
Limp_Bizkit,Getcha_Groove_On
Marvin Gaye,How_Sweet_It_Is_(To_Be_Loved_by_You)
Blu_Cantrell,Breathe
Gene_Autry,Mexicali_Rose
The_Byrds,You_Ain't_Goin'_Nowhere
Robert_Johnson,Terraplane_Blues
Elvis_Costello,Ive_Been_Wrong_Before
Billy_Joel,I've_Love_These_Days
Blur,Battery_in_Your_Leg
Carl_Perkins,Pink_Pedal_Pushers
Marianne_Faithfull,Love_in_the_Afternoon
Ella_Fitzgerald,Cryin'_Mood
Nelly_Furtado,Onde_Estas
Patsy_Cline,Just_a_Closer_Walk_With_Thee
The_Oak_Ridge_Boys,Love_Song
Whitney_Houston,Oh_Yes
Carly_Simon,Nobody_Does_It_Better
Eric_Clapton,My_Father's_Eyes
Bing_Crosby,Too_Marvelous_for_Words
Ludacris,Glamorous
PJ_Harvey,This_Mess_We're_In
Bing_Crosby,Here_Comes_Santa_Claus
Johnny_Cash,Were_You_There_(When_They_Crucified_My_Lord)
The_Beach_Boys,Big Sur
Dean_Martin,All_of_Me
Siouxsie_and_the_Banshees,Regal_Zone
Ozzy_Osbourne,Running_Out_of_Time
Willie_Nelson,Willingly
The_Doors,Celebration_of_the_Lizard
The_Pogues,Love_You_'Till_the_End
Merle_Haggard,Pancho_and_Lefty
The_Police,When_the_World_Is_Running_Down_You_Make_the_Best_of_What's_Still_Around
George_Jones,Where_Grass_Won't_Grow
The_Stanley_Brothers,Angel_Band
Bryan_Ferry,This_Love
Rosemary_Clooney,You'll_Never_Know
Leonard_Cohen,Joan_of_Arc
Joe_Pass,Once_I_Loved
OutKast,Hey_Ya!
Soulfly,Back_to_the_Primitive
Louis_Armstrong,I_Double_Dare_You
Johnny_Cash,Long_Black_Veil
Jim_Nabors,A_Time_for_Us
Merle_Haggard,High_on_a_Hilltop
Elvis_Presley,I_Need_Your_Love_Tonight
Eric_Clapton,Spoonful
Ray_Charles,What'd_I_Say
Rod_Stewart,What_Am_I_Gonna_Do_(I'm_So_in_Love_With_You)
The_Byrds,Deportee
Air,Universal_Traveller
Eric_Clapton,River_of_Tears
Clannad,Of_This_Land
Michael_Jackson,Happy
Bruce_Springsteen,The_Promise
Queensryche,I_Will_Remember
Marvin_Gaye,Joy
Chuck_Berry,Nadine
KMFDM,Don't_Blow_Your_Top
Killswitch_Engage,Unbroken
The_Everly_Brothers,So_Lonely
Jennifer_Lopez,Waiting_for_Tonight
Lesley_Gore,Look_of_Love
The_Beach_Boys,California_Saga/California
Indigo_Girls,Romeo__Juliet
Tammy_Wynette,Southern_California
Clannad,Now_Is_Here
Jerry_Lee_Lewis,I'd_Do_It_All_Again
Tom_Waits,When_You_Ain't_Got_Nobody
Brian_Eno,Empty_Frame
Sam_Cooke,Touch_the_Hem_of_His_Garment
Alien_Sex_Fiend,Dead_and_Buried
Smashing_Pumpkins,Crush
Nas,Drunk_by_Myself
Jim_Nabors,More
Ice_Cube,How_to_Survive_in_South_Central
Deep_Purple,Breakfast_in_Bed
Jars_of_Clay,Love_Song_for_a_Savior
Elvis_Presley,O_Come_All_Ye_Faithful
Slayer,Necrophiliac
Public_Enemy,Bring_the_Noise
Jennifer_Lopez,Get_Right
Katie_Melua,I_Cried_for_You
Eastmountainsouth,Mark's_Song
Curtis_Mayfield,Future_Shock
Ella_Fitzgerald,I'm_Making_Believe
Donna_Summer,This_Time_I_Know_It's_for_Real
Bob_Marley,Redemption_Song
The_Cure,The_Big_Hand
The_Beach_Boys,Land_Ahoy
Tom_Jones,Without_Love_(There_Is_Nothing)
k.d._lang,Flame_of_the_Uninspired
Lynyrd_Skynyrd,I_Never_Dreamed
Marianne_Faithfull,Sad_Lisa
Lou_Reed,Baby_Face
Sting,I'm_So_Happy_I_Can't_Stop
Queensryche,When_the_Rain_Comes
Pink_Floyd,Chapter_24
Peter_Gabriel,I_Grieve
Manic_Street_Preachers,Of_Walking_Abortion
Daryl_Hall_John_Oates ,Promise_Ain't_Enough
Neil_Young,Flags_of_Freedom
Frank_Sinatra,Not_as_a_Stranger
Barbra_Streisand,Christmas_Lullaby
Lenny_Kravitz,Heaven_Help
The_Cure,More_Than_This
Burt_Bacharach,What_the_World_Needs_Now_is_Love
Limp_Bizkit,Eat_You_Alive
Finley_Quaye,I_Need_a_Lover
Page_France,So_Sweetly_Around_Me
k.d._lang,Love_Is_Like_a_Cigarette
Carl_Perkins,Let_the_Jukebox_Keep_on_Playing
Barbra_Streisand,I_Never_Meant_to_Hurt_You
The_Stranglers,Skin_Deep
The_Rolling_Stones,Citadel
Incognito,Summer_in_the_City
The_Beatles,Im_Happy_Just_to_Dance_With_You
Astrud_Gilberto,Girl_From_Ipanema
Elvis_Presley,Wear_My_Ring_Around_Your_Neck
Madonna,Music
Kiss,A_World_Without_Heroes
Mariah_Carey,Emotions
The_Mills_Brothers,You_Always_Hurt_the_One_You_Love
Bjﾔrk,Desired_Constellation
The_Cure,Out_of_Mind
Diana_Ross,One_More_Chance
Louis_Armstrong,Swing_Low_Sweet_Chariot
Gene_Vincent,Woman_Love
Marianne_Faithfull,Chords_of_Fame
Cat_Stevens,How_Many_Times
